,URL,CATEGORY,content and summary
28607,http://www.investmentnews.com/article/20140321/FREE/140329984,business,
28608,http://www.greenbaypressgazette.com/usatoday/article/6683267,business,
28609,http://www.sltrib.com/sltrib/money/57712439-79/russia-bank-sanctions-russian.html.csp,business,"['1 of 6 View Caption\n\nRussian soldiers guard the entrance to the Ukrainian military base in Perevalne, Crimea, on Friday, March 21, 2014. Russian Presi In this photo taken on Friday, Aug. 9, 2013, Russian President Vladimir Putin, left, and businessman and billionaire Arkady Roten Russian President Vladimir Putin chairs a meeting with Security Council members in the Kremlin in Moscow, Russia, Friday, March 21 In this photo taken on Sunday, Sept. 15, 2013, Russian businessman and billionaire Arkady Rotenberg applauds during a local soccer This April 30, 2013 photo, shows Russian businessman and billionaire Gennady Timchenko in St. Petersburg, Russia. U.S. President A vintage Soviet-made Volga car leaves the Ukrainian navy headquarters, which was taken under pro-Russian control Wednesday, in Se', '1 of 6 View CaptionRussian soldiers guard the entrance to the Ukrainian military base in Perevalne, Crimea, on Friday, March 21, 2014.\nRussian Presi In this photo taken on Friday, Aug. 9, 2013, Russian President Vladimir Putin, left, and businessman and billionaire Arkady Roten Russian President Vladimir Putin chairs a meeting with Security Council members in the Kremlin in Moscow, Russia, Friday, March 21 In this photo taken on Sunday, Sept. 15, 2013, Russian businessman and billionaire Arkady Rotenberg applauds during a local soccer This April 30, 2013 photo, shows Russian businessman and billionaire Gennady Timchenko in St. Petersburg, Russia.\nU.S. President A vintage Soviet-made Volga car leaves the Ukrainian navy headquarters, which was taken under pro-Russian control Wednesday, in Se']"
28610,http://www.rte.ie/news/business/2014/0321/603751-russia-credit-cards/,business,"['Visa and MasterCard have stopped servicing the credit cards of customers using Russian banks affected by the economic sanctions announced in Washington, the banks said today.\n\nBank Rossiya, used by close associates of President Vladimir Putin, said in a statement that Visa and MasterCard had ""without warning stopped providing its payment services to the bank\'s clients.""\n\nAn affiliate bank, Sobinbank, which is 100%-controlled by Bank Rossiya, was also affected.\n\nBank Rossiya was hit by a fresh wave of Washington sanctions announced yesterday, which also targeted several billionaire businessmen believed to be close to Putin.\n\nClients of the banks are now unable to use their credit cards to make purchases or to withdraw money from cash machines not belonging to the banks.\n\nSMP Bank, which is controlled by brothers Arkady and Boris Rotenberg who were among those blacklisted, also said its clients were unable to make Visa and MasterCard payments.\n\nHow business may ultimately shape the Ukraine crisis\n\nUS President Barack Obama yesterday said the list of Russians targeted by sanctions had been extended to include oligarchs and bankers believed to be close to Putin, including Gennady Timchenko and Yuri Kovalchuk.\n\nBank Rossiya was listed separately as a target for sanctions.\n\nAmericans and American businesses, such as Visa and MasterCard, are forbidden from any dealings with anyone targetted by the sanctions and any assets they might have in the US are frozen.\n\nPutin responded today by vowing to open an account at Bank Rossiya on Monday.\n\nSMP Bank said in a statement that it believed the move was ""unlawful"" because the sanctions targeted not the bank but its shareholders.\n\nNone of the banks affected have a major high-street presence, but Bank Rossiya is used by companies within Gazprom energy giant to pay salaries to staff, the Interfax news agency reported.\n\nRussia\'s central bank said in a statement about Bank Rossiya that ""the operations that come under sanctions are not having a significant impact on the financial stability of the credit organisation"".\n\n""If necessary suitable measures will be taken to support the credit organisation and give reliable protection of the interests of its account holders and creditors,"" Russia\'s central bank added.', 'Visa and MasterCard have stopped servicing the credit cards of customers using Russian banks affected by the economic sanctions announced in Washington, the banks said today.\nBank Rossiya, used by close associates of President Vladimir Putin, said in a statement that Visa and MasterCard had ""without warning stopped providing its payment services to the bank\'s clients.""\nAn affiliate bank, Sobinbank, which is 100%-controlled by Bank Rossiya, was also affected.\nPutin responded today by vowing to open an account at Bank Rossiya on Monday.\nSMP Bank said in a statement that it believed the move was ""unlawful"" because the sanctions targeted not the bank but its shareholders.']"
28611,http://www.toledoblade.com/World/2014/03/21/Russian-stocks-down-amid-sanctions.html,business,
28612,http://www.rferl.org/content/us-sanctions-russia-impact-crimea-ukraine/25304448.html,business,"['WASHINGTON -- The United States has slapped fresh sanctions on individuals close to President Vladimir Putin over Russia’s annexation of Ukraine’s Crimea region, penalties that officials and legal experts say could severely restrict the targeted Russians\' ability to do business throughout the world.U.S. President Barack Obama announced the measures, aimed at senior Russian officials, wealthy businessmen in Putin\'s ""inner circle,"" and Bank Rossiya, which has close ties to Russia\'s leadership.""Based on the executive order that I signed in response to Russia\'s initial intervention in Ukraine, we are imposing sanctions on more senior officials of the Russian government,"" Obama said. ""In addition, we are today sanctioning a number of other individuals with substantial resources and influence who provide material support to the Russian leadership, as well as a bank that provides material support to these individuals.""The administration also vowed that further punitive steps are on the way.State Department spokeswoman Jen Psaki warned that ""the question at this point is not if we will do more sanctions, it’s when.""Those hit with sanctions include Vladimir Yakunin, the influential head of Russian Railways, oil trader Gennady Timchenko, and Putin’s chief of staff and close associate, Sergei Ivanov, as well as a handful of others.The U.S. Treasury also sanctioned Bank Rossiya -- among the country\'s 20 largest banks -- which it called “the personal bank for senior officials of the Russian Federation.”Its chairman, Yury Kovalchuk, was also placed on the sanctions list.A senior U.S. administration official told reporters in a call that the named individuals “will be unable to access any U.S. financial services, will find it difficult to transact in the dollar, and I suspect will find it very difficult to transact in Europe and elsewhere, as our partners around the world have demonstrated over time a willingness to also adhere to the sanctions that we are imposing.""Russian officials included in an initial round of U.S. sanctions on March 17 scoffed at that move, saying they had neither any assets in the United States nor any desire to visit the country.But another senior U.S. official who spoke to journalists by phone after this latest round insisted that the sanctions have teeth.“People may think that they are a mere wrist slap. I can assure them that they are not,” the official said.Legal experts said the fresh sanctions could create havoc for the designated individuals as they try to conduct business, particularly when trying to move money around the world.Douglas McNabb, a Washington-based lawyer specializing in financial sanctions and extradition law, said that ""even some banks that don’t have corresponding relations with the U.S. still won’t have anything to do with individuals who have been designated.”One of the targeted individuals, Timchenko, is a Soviet-born Finnish citizen who until this week was a co-owner of the oil-trading company Gunvor, which has a head office in Geneva and a registered office in Cyprus.Gunvor issuedsoon after the announcement saying that in anticipation of ""potential economic sanctions,"" Timchenko on March 19 sold all of his shares in the company to his partner, Swedish businessman Torbjorn Törnqvist.Last year, Reuters reported that Timchenko had hired Washington lobbyists in a bid to secure funding backed by the U.S. government for a luxury aircraft business.Though quickly denied by officials at Gunvor, theon Thursday asserted that ""Putin has investments in Gunvor and may have access to Gunvor funds.""Meanwhile, Bank Rossiya, with about $10 billion in assets, will be effectively shut out of U.S. dollar activities worldwide and have its correspondent relationships with banks across the globe placed under threat, according to Steve Ganis, an expert on financial sanctions with the Boston law firm Mintz Levin.Obama also announced an executive order signed that enables the U.S. government to introduce sanctions on entire sectors of the Russian economy. A senior administration official said that could include the energy, engineering, financial services, or metals and mining sectors.“Once those sectors are designated...we will then be able to impose sanctions on specific entities within those sectors,” the official said. “This is a flexible tool that we can use in response to further provocations” -- the official said, citing potential Russian incursions into other areas of Ukraine.Boston lawyer Ganis said that sanctions on the Russian energy sector could be “quite disruptive” to Russian energy companies but that such sanctions could also affect global markets and create problems for European countries dependent on Russian energy.A U.S. administration official said Washington is ""working actively to prepare additional sanctions under these authorities using their creative breadth to design sanctions that will hurt the entities with...the smallest possible impact on us and our allies.""Obama’s is traveling next week to Europe, where he said he will discuss the Ukrainian situation with the United States\' Group of Seven (G7) partners.', 'WASHINGTON -- The United States has slapped fresh sanctions on individuals close to President Vladimir Putin over Russia’s annexation of Ukraine’s Crimea region, penalties that officials and legal experts say could severely restrict the targeted Russians\' ability to do business throughout the world.U.S.\nPresident Barack Obama announced the measures, aimed at senior Russian officials, wealthy businessmen in Putin\'s ""inner circle,"" and Bank Rossiya, which has close ties to Russia\'s leadership.\n""Based on the executive order that I signed in response to Russia\'s initial intervention in Ukraine, we are imposing sanctions on more senior officials of the Russian government,"" Obama said.\n""The administration also vowed that further punitive steps are on the way.State Department spokeswoman Jen Psaki warned that ""the question at this point is not if we will do more sanctions, it’s when.\n""Obama’s is traveling next week to Europe, where he said he will discuss the Ukrainian situation with the United States\' Group of Seven (G7) partners.']"
28613,http://mashable.com/2014/03/21/report-mastercard-visa/,business,"['In an echo of the Cold War, MasterCard and Visa have stopped processing payments by some Russian banks after the United States issued sanctions over Russia\'s recent annexation of Crimea.\n\nA MasterCard representative says the brand has pulled out of Rossiya, Sobinbank and SMP Bank, but is still doing business with all other Russian banks. Reps from Visa could not be reached for comment. RT reports that Visa has also cut off SMP Bank, Sobinbank and Investcapitalbank; both credit card companies are no longer working with Rossiya Bank. The latter issued a statement apologizing to users.\n\n""The management of Rossiya understands the difficulties of clients in the current situation and will do all it can to solve them,"" the bank said in a statement to RT.\n\nU.S. officials told The Guardian that Rossiya Bank, a favorite of the Kremlin, will be ""frozen out of the dollar."" The U.S. Treasury Department has named 20 Russian officials and billionaires, some of whom are President Vladimir Putin\'s closest friends, in its sanctions. The move freezes assets under U.S. jurisdiction and prohibits U.S. banks from doing business with those on the list.\n\nIn light of the sanctions, which were announced earlier this week, Standard and Poor\'s downgraded Russia’s long-term credit rating, citing “heightened geopolitical risk and the prospect of U.S. and E.U. economic sanctions.”', 'In an echo of the Cold War, MasterCard and Visa have stopped processing payments by some Russian banks after the United States issued sanctions over Russia\'s recent annexation of Crimea.\nA MasterCard representative says the brand has pulled out of Rossiya, Sobinbank and SMP Bank, but is still doing business with all other Russian banks.\nRT reports that Visa has also cut off SMP Bank, Sobinbank and Investcapitalbank; both credit card companies are no longer working with Rossiya Bank.\nU.S. officials told The Guardian that Rossiya Bank, a favorite of the Kremlin, will be ""frozen out of the dollar.""\nThe U.S. Treasury Department has named 20 Russian officials and billionaires, some of whom are President Vladimir Putin\'s closest friends, in its sanctions.']"
28614,http://www.newser.com/article/d383c3076d47459a9c4972e7553040d7/russian-stocks-pressured-visa-mastercard-stop-serving-2-russia-banks-amid-crimea-sanctions.html,business,
28615,http://www.azcentral.com/story/money/business/2014/03/21/sanctions-hit-russia-wallet/6688263/,business,"['Russian president Vladimir Putin watches as Russian stocks were feeling the heat from U.S. sanctions. Two Russian banks including Bank Rossiya, the Russian lender which was put on the Treasuryâ??s sanctions list, said Visa and MasterCard stopped providing services to them. President Putin on Friday ordered the countryâ??s central bank to help clients of Rossiya. He denied having an account there but ordered the Central Bank to â??take the bankâ??s clients under protection and provide all possible assistance to them.â?\x9d (Photo: AP Photo/Alexander Zemlianichenko)\n\nRussian stocks were under pressure Friday as another credit rating agency put the country on notice of a possible downgrade and Visa and MasterCard stopped serving two Russian banks, a day after the U.S. ordered economic sanctions against two dozen people from President Vladimir Putin\'s entourage.\n\nFears over Russia\'s economic outlook have ratcheted up this week as the country annexed Crimea following Sunday\'s hastily called referendum which overwhelmingly supported that move. The West considers the vote illegitimate and has slapped on sanctions in response.\n\nPresident Barack Obama on Thursday ordered economic sanctions against nearly two dozen members of Putin\'s inner circle and a major Russian bank that provides them support. Putin\'s chief of staff and four influential businessmen who are believed to be Putin\'s lifelong friends were among the 20 individuals sanctioned.\n\nThe MICEX benchmark was down 2 percent in late afternoon trading Friday with the companies co-owned by the Russians sanctioned by the White House leading the decline. The Russian stock market has lost than more 10 percent this month.\n\nAs Russian stocks were feeling the heat, two Russian banks including Bank Rossiya, the Russian lender which was put on the Treasury\'s sanctions list, said Visa and MasterCard stopped providing services to them. U.S. officials described Russia\'s 15th largest bank with $12 billion in assets as a ""personal bank for senior officials of the Russian Federation.""\n\nAnd clients of another Russian lender, SMP, woke up Friday to discover that their bank cards are not as useful as they were. In a statement, it said Visa and MasterCard stopped providing their services ""without prior notification."" SMP\'s co-owners, Arkady and Boris Rotenberg — billionaire brothers and childhood friends of Putin — were hit by the U.S. sanctions on Thursday.\n\nThe bank, which is in Russia\'s top 40 with $5 billion in assets, said it had no assets in the United States and described Visa and MasterCard\'s actions as ""illegitimate"" because the bank, unlike its owners, was not covered by the sanctions.\n\nAs a result, customers in the two banks won\'t be able to use cards backed by Visa and MasterCard to buy products in shops online or withdraw cash from ATMs beyond their own bank\'s. They can also get cash directly inside their banks\' branches.\n\nPresident Putin on Friday ordered the country\'s central bank to help clients of Rossiya. He denied having an account there but ordered the Central Bank to ""take the bank\'s clients under protection and provide all possible assistance to them.""\n\nDescribing Rossiya, which was rumored to serve nearly everyone in Putin\'s close entourage, as ""just an average bank,"" Putin said he had never had an account there, but promised to open one ""first thing on Monday"" and asked his salary to be transferred there.\n\nRussia\'s central bank earlier said that the blacklisting of Rossiya and its transactions by U.S. ""does not have a serious bearing on the lender\'s financial stability.""\n\nAmid the signs that the sanctions are beginning to impact on day-to-day life in Russia, ratings agency Fitch followed Standard & Poor\'s in warning Russia that it may have its credit rating downgraded. In a statement, Fitch said it has revised down its outlook for Russia\'s debt to reflect the potential impact of sanctions on Russia\'s economy, a day after S&P warned of a potential downgrade too.\n\nFitch operates a 23-notch rating system and Russia\'s BBB rating ranks ninth on that scale, two above what is considered to be junk status. Lower ratings are important because it can make a country\'s borrowing costs more expensive.\n\nPutin\'s spokesman Dmitry Peskov lambasted the move, saying it was not an objective decision and that somebody ""ordered"" it.\n\n""Since U.S. and EU banks and investors may well be reluctant to lend to Russia under the current circumstances, the economy may slow further and the private sector may require official support,"" Fitch said.\n\nCopyright 2014 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.\n\nRead or Share this story: http://azc.cc/1g8hFyO', ""Russian president Vladimir Putin watches as Russian stocks were feeling the heat from U.S. sanctions.\nTwo Russian banks including Bank Rossiya, the Russian lender which was put on the Treasuryâ?\nPresident Barack Obama on Thursday ordered economic sanctions against nearly two dozen members of Putin's inner circle and a major Russian bank that provides them support.\nSMP's co-owners, Arkady and Boris Rotenberg — billionaire brothers and childhood friends of Putin — were hit by the U.S. sanctions on Thursday.\nAmid the signs that the sanctions are beginning to impact on day-to-day life in Russia, ratings agency Fitch followed Standard & Poor's in warning Russia that it may have its credit rating downgraded.""]"
28616,http://in.reuters.com/article/2014/03/21/europe-sanctions-idINL6N0MI1J220140321,business,"[""PARIS/MOSCOW, March 21 (Reuters) - U.S. and European sanctions against Russia are already having a ripple effect beyond their immediate targets, with Visa and MasterCard halting payment transaction services for clients of a bank not even on the blacklist.\n\nSMP bank’s co-owners are two of the 20 Russians targeted by U.S. President Barack Obama as he tries to punish Russian President Vladimir Putin for annexing Crimea.\n\nThe lender described the move by Visa and MasterCard as unlawful. However, financial services firms are wary of doing business with any person or group that can be linked back to Obama’s blacklist.\n\nBanks have paid dearly in the past for violating U.S. sanctions on countries such as Iran, and the threat of broader measures against the Russian economy should Putin threaten southern and eastern Ukraine reinforces their caution.\n\nThe U.S. sanctions forced Russian billionaire Gennady Timchenko to sell his nearly 50 percent stake in Gunvor, the world’s fourth-largest oil trader, this week but their direct effect has generally been relatively minor so far.\n\nWhat bankers and business people fear is an escalation of measures that would choke off international payments and trade, halt investments and stymie deals. Germany’s main trade body warned on Friday that full-blown economic sanctions would be a “real catastrophe”.\n\nIn a worst-case scenario, Washington would stop banks doing business with Russian counterparts and corporates, similar to the sort of sanctions that were imposed on Iran.\n\nGermany’s “wise men” council of economic advisers said this week that the Ukraine crisis was the biggest threat to growth globally, and especially in Germany, because of Russia’s importance of an energy exporter.\n\n“What has been announced so far is really nothing. It’s purely cosmetic,” said a French banker based in Moscow.\n\n“The biggest risk is tougher sanctions and really the potential impossibility of transfers in U.S. dollars. That will hit trade finance, which depends on correspondent accounts in dollars,” said the banker, who declined to be named because of official sensitivity around the restrictions.\n\n“Being able to make payments in dollars is crucial for the Russian economy, which is dependent on energy exports. It would really hurt us domestically.”\n\n********************************************************\n\nBank exposure to Russia link.reuters.com/xej67v\n\nRussia's main trade partners link.reuters.com/jup77v\n\nRussia's EU trade ties link.reuters.com/rup77v\n\n********************************************************\n\nState-owned Russian banks and companies are expected to repatriate funds from overseas after Putin told them this week to bring their assets home. But foreign bankers in Russia said things would have to deteriorate further before they would reconsider their investments there.\n\n“It would have to be a lot worse than this. We are waiting for the response from the Russian side. It’s very difficult to predict,” said another Western banker in Moscow. “I haven’t heard of any Western companies pulling out of Russia. If a company is substantially invested here it will be difficult for them to consider getting out.”\n\nWAIT AND SEE\n\nEven before the Crimean crisis blew up last month, international banks such as HSBC, Credit Suisse and Barclays had pulled out of dozens of markets because the risk of falling foul of financial crime rules and sanctions outweighed the returns.\n\nThe cost to banks of cleaning up an array of misdeeds that have come to light since the global financial crisis, including sanctions busting, has soared to over $100 billion.\n\nWith that figure expected to climb, Western banks have so far steered clear of attempts by Iran to get them involved in financing humanitarian transactions, despite a diplomatic thaw.\n\nWith the U.S. and European sanctions so far focused on wealthy individuals close to Putin, private banks which cater to powerful Russians are under the spotlight.\n\nSwitzerland, the centre of international private banking and a bolt-hole for wealthy Russians, has yet to impose any sanctions but its banks, such as UBS and Credit Suisse, still have to be aware of sanctions when they deal with clients.\n\nBeyond banking, big companies such as AstraZeneca have said they are monitoring the situation in Russia, while doubts are growing over whether smaller firms with less financial flexibility should push ahead with investments in Russia such as building factories.\n\n“They are in a wait-and-see mode. But again the timing could be waiting three to six months rather than scrapping the whole thing,” said a second French banker working in Moscow.\n\nVasili Brokvo, the head of communications for Russia’s state defence conglomerate Rostec, made the corporate case for peace.\n\n“We hope and our international partners also hope that political differences over certain issues won’t annul or destroy everything we’ve built and all previous agreements with foreign partners will be successfully implemented,” he said on a business trip to Chile this week. (Additional reporting by Katharina Bart in Zurich, Ben Hirschler in London and Alexandra Ulmer in Santiago. Writing by Carmel Crimmins; editing by David Stamp)"", 'However, financial services firms are wary of doing business with any person or group that can be linked back to Obama’s blacklist.\nWhat bankers and business people fear is an escalation of measures that would choke off international payments and trade, halt investments and stymie deals.\nGermany’s main trade body warned on Friday that full-blown economic sanctions would be a “real catastrophe”.\nIn a worst-case scenario, Washington would stop banks doing business with Russian counterparts and corporates, similar to the sort of sanctions that were imposed on Iran.\n“Being able to make payments in dollars is crucial for the Russian economy, which is dependent on energy exports.']"
