,URL,CATEGORY,content and summary
4207,http://www.ketknbc.com/news/grown-ups-put-down-the-smartphones-at-mealtime,health,
4208,http://gadgets.ndtv.com/mobiles/news/cellphone-addiction-may-damage-parent-child-bond-study-494397,health,"['Do you often play games, check emails or respond to office calls on your cellphone while with family on a dinner? According to a study, this phone addiction can damage your emotional bonding with your children.\n\nIn a first-of-its-kind study to examine how children behave while adults are on cellphones, researchers from Boston Medical Centre studied 55 parents while they had food at a restaurant with children.\n\nThe study found that one in three parents used their cellphones almost continuously during the meals.\n\n""A lack of eye contact and interaction with children can reduce the bond with them,"" alerted Jenny Radesky, a behavioural paediatrics expert.\n\nAccording to the study, almost 73 percent of the adults used their phone at least once during each meal.\n\nMore than 15 percent of parents used their cellphones towards the end of the meal, and continued to use it until they left the restaurant, said the study.\n\nAlso reported by the study, was when parents spent a long time looking at their phones, their children had a tendency to seek attention.\n\n""Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,"" Radesky was quoted as saying.\n\nChildren became distracted and wanted to know why the parents were using their phones during the family time.\n\nThis could cause problems with the child\'s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.', 'According to a study, this phone addiction can damage your emotional bonding with your children.\nThe study found that one in three parents used their cellphones almost continuously during the meals.\n""A lack of eye contact and interaction with children can reduce the bond with them,"" alerted Jenny Radesky, a behavioural paediatrics expert.\nAccording to the study, almost 73 percent of the adults used their phone at least once during each meal.\n""Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,"" Radesky was quoted as saying.']"
4209,http://www.mnn.com/family/family-activities/stories/parents-wont-stop-using-smartphones-even-while-eating-with-kids,health,"['About one in three parents use their mobile phones nearly nonstop while eating at a restaurant with their young children, a new study suggests.\n\nResearchers observed that when parents were almost constantly engrossed in their phones, kids tended to act out, although some kids also seemed to accept the lack of attention and conversation, and entertained themselves, the researchers found.\n\n""Caregivers who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,"" said lead author Dr. Jenny Radesky, who specializes in developmental behavioral pediatrics at Boston Medical Center.\n\nThis is the first study to look at how adults are using mobile phones around children and how kids react to this use. The researchers wanted to describe parents\' common patterns of mobile use as a first step toward understanding how this behavior affects parent-child interactions and child development, according to the study.\n\nThis is a tricky topic to study, Radesky said. ""Mobile device use is harder to measure than [use of] \'traditional media\' like TV, because these devices can be used in so many different ways and are instantly accessible."" [9 Odd Ways Your Tech Devices May Injure You]\n\nThe findings were published online on March 10 and will appear in the April issue of the journal Pediatrics.\n\nObserving behavior\n\nBorrowing a technique from anthropology of observing people\'s behavior in real-life settings, the researchers wrote up 55 detailed observations of caregivers and children ages 10 and under eating in fast-food restaurants in Boston.\n\nNeither the parents nor the children knew their behavior was being watched by a trained observer who was sitting at a nearby table taking detailed notes.\n\n""This allowed us to record absolutely everything taking place during a family\'s meal -- the positive and the not-so-positive things — related to device use,"" Radesky told LiveScience.\n\nThese observations showed that 73 percent of adults in the study used a mobile device during their meal.\n\nBut the degree of use by caregivers varied, and five main usage patterns emerged from the findings: They included parents who never took the device out, those who placed it on the table but didn\'t use it, as well as adults who had brief periods of use, continuous use at the end of a meal, or near constant use throughout the meal.\n\nThe researchers also observed that children were almost always curious about what adults were doing on their devices.\n\nAbsorbed in technology\n\nA large segment of caregivers in the study appeared to be more absorbed in their gadgets than their children.\n\nAdults who were the most engrossed spent nearly the entire meal typing or swiping the screen rarely looking up to check on their kids or talk to them. Parents who talked on their phones typically had an eye on their child, the study found.\n\nAbout 15 percent of caregivers took out their phones at the end of their meal — while children were still eating — and used it almost constantly from that point on, often because they seemed bored, the researchers noted.\n\nThe results suggest there may be healthier styles of device use, such as brief or occasional use or sharing the device with a child to look at a picture or video, that are more supportive of parent-child interactions, Radesky said.\n\nBut she also added, ""there may be reason for concern that a parent\'s excessive device use can lead to less positive and less sensitive interactions with children.""\n\nThe results are ""an initial descriptive look into a complicated topic,"" Radesky said. She offered these tips to parents to promote healthy family interactions:\n\nMake time to play or talk with your child every day. ""It\'s the window into your child\'s mind,"" Radesky said.\n\nBe present and tuned-in to your kids, helping them to problem-solve or deal with strong emotions.\n\nWhen connecting with your kids and trying to listen to them, turn off the TV, put away your devices and shelve your mental to-do list for the time being.\n\nUse mealtimes as an opportunity to strengthen relationships with children.\n\nParents won\'t stop using smartphones even while eating with kids\n\nAbout one in three parents use their mobile phones nearly nonstop while eating at a restaurant with their young children.', ""About one in three parents use their mobile phones nearly nonstop while eating at a restaurant with their young children, a new study suggests.\nThis is the first study to look at how adults are using mobile phones around children and how kids react to this use.\nThis is a tricky topic to study, Radesky said.\nThese observations showed that 73 percent of adults in the study used a mobile device during their meal.\nParents won't stop using smartphones even while eating with kidsAbout one in three parents use their mobile phones nearly nonstop while eating at a restaurant with their young children.""]"
4210,http://timesofindia.indiatimes.com/life-style/relationships/parenting/Smartphones-making-parents-ignore-their-kids/articleshow/31850683.cms,health,
4211,http://www.utahpeoplespost.com/2014/03/smartphones-can-loosen-emotional-bonding-with-your-children-study/,health,"['Are you involved with your smartphone more than your family on your dinner table? With advancement of science and technology, people of all age groups are more and more involved in their mobile phones either for playing games or exploring web or simply or chit-chat.\n\nBut whatever be the reason this phone addiction can damage your emotional bonding with your family.\n\nIn a first-of-its-kind study, the researchers have found that over use of smartphones can damage relations with your kids.\n\nJenny Radesky, a behavioural pediatrics expert said, “A lack of eye contact and interaction with children can reduce the bond with them.”\n\nResearchers from Boston Medical Centre carried a study to examine how children behave with adults on phones. The researchers carried study on 55 parents while they had food at a restaurant with children.\n\nThey found that one in three parents used their phones almost continuously during the meals.\n\nFindings of the study\n\nAlmost 73 percent of the adults used their phone at least once during each meal.\n\nMore than 15 percent used their phones towards the end of the meal and continued to use it until they left the restaurant.\n\nRadesky says, “Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children.”\n\nThe findings of the study will be published in the April issue of the journal Pediatrics.', 'But whatever be the reason this phone addiction can damage your emotional bonding with your family.\nIn a first-of-its-kind study, the researchers have found that over use of smartphones can damage relations with your kids.\nThe researchers carried study on 55 parents while they had food at a restaurant with children.\nThey found that one in three parents used their phones almost continuously during the meals.\nFindings of the studyAlmost 73 percent of the adults used their phone at least once during each meal.']"
4212,http://www.physiciansnews.com/2014/03/10/smartphone-use-in-restaurants-leads-to-distracted-parenting/,health,"['By Brad Broker\n\nUsually, it’s the kid who gets in trouble for playing with their i-device at the dinner table. But how about Mom and Dad? How does smartphone use by parents affect interactions with their children?\n\nIn a first-of-its-kind study published in Pediatrics, researchers analyzed how parents or other caregivers use mobile devices around children and how that use impacts relationships. “We chose to observe caregivers and children during meals because this is a daily routine in which face-to-face caregiver–child interactions are considered beneficial,” said the researchers from Boston University Medical Center.\n\nThey observed 55 caregivers eating with at least one child in fast-food restaurants. Forty of those caregivers used a mobile device during the meal. Researchers were most concerned with the level of absorption, which they defined as the “extent to which the primary focus of the caregiver’s attention and engagement was with the device rather than the child.”\n\nOf the caregivers with smartphones, most of them used the devices throughout the meal and seemed to have more engagement with their phone than the child. Researchers took notes during the observations. Some of their comments included:\n\n“Many caregivers used the device almost continuously throughout the meal, eating and talking while looking at the device or only putting it down briefly to engage in other activities.\n\nCaregiver looks up occasionally to grab a French fry or quickly say something to the girl and then continues to do something on her phone.\n\nFemale caregiver is holding the baby in her lap and is staring at her cell phone.\n\nThere is no conversation. Caregiver appears to be typing into phone, holding it about 10 inches away from her face, looking into it for long stretches during which she does not look up.”\n\nA 2011 study published in Pediatrics advised physicians to tell their patients about the benefits of actively engaging their children during meals. When parents and kids eat meals together at least three times per week, benefits “include a reduction in the odds for overweight, eating unhealthy foods, and disordered eating and an increase in the odds for eating healthy foods.”\n\nIn the current study, it was common for children to act out to get the attention of the distracted parent and equally common for the parent to ignore the needs of the kids. “Caregivers absorbed in devices frequently ignored the child’s behavior for a while and then reacted with a scolding tone of voice,” said the authors.\n\nSuch inattention could lead to potentially dangerous situations. “It may be that children can perceive the inattention and take more risk,” Dr. David Schwebel, a psychologist at the University of Alabama, told the Wall Street Journal during a previous study of texting and distracted parenting.\n\nOne of the positive observations showed enjoyment by caregiver and child when they shared information or entertainment on the mobile device. While no definitive conclusions were made from the observations, the researchers said that this analysis was “an important first step in the study of how device technology affects the daily interactions that are so important to child development.”', 'How does smartphone use by parents affect interactions with their children?\nIn a first-of-its-kind study published in Pediatrics, researchers analyzed how parents or other caregivers use mobile devices around children and how that use impacts relationships.\nThey observed 55 caregivers eating with at least one child in fast-food restaurants.\nForty of those caregivers used a mobile device during the meal.\nOne of the positive observations showed enjoyment by caregiver and child when they shared information or entertainment on the mobile device.']"
4213,http://economictimes.indiatimes.com/news/news-by-industry/et-cetera/smartphones-may-threaten-parent-child-emotional-bond/articleshow/31848679.cms,health,"['WASHINGTON: Parents, take note! Your addiction to your smartphone can affect your parenting skills and prevent you from emotionally bonding with the kids, a new study suggests.Researchers found that in the study when parents spent a long time looking at their phones, their children noticed and tried to seek attention.Researchers from Boston Medical Center went to 15 local fast food restaurants and observed the interactions between family members, noting in particular the reactions children had when mom or dad were busy with their smartphones Dr Jenny S Radesky, a fellow in developmental behavioural pediatrics at Boston Medical Center and lead author of the study said that researchers took detailed notes about the observations.Parents in 40 of the 55 families observed were absorbed in their mobile devices, according to the study.They seemed more distracted when they were typing and making swiping motions with the fingers than when making phone calls. And almost a third of the parents used their devices continuously throughout their meal.Some children appeared unaffected and ate their meals in silence. Other children were more provocative, with one set of siblings singing \'Jingle bells, Batman smells\' to get their father\'s attention, \'ABC News\' reported.The degree to which the device was used, however, did not necessarily directly relate to the way in which the child reacted, according to the study.""The conclusion I wouldn\'t draw from the study, is that we need to completely remove these devices when we are with our children,"" Radesky said.""But it does raise the issue that we need to create boundaries for these devices when we are with our children,"" she said.The study will be published in the journal Pediatrics.', 'WASHINGTON: Parents, take note!\nAnd almost a third of the parents used their devices continuously throughout their meal.Some children appeared unaffected and ate their meals in silence.\nOther children were more provocative, with one set of siblings singing \'Jingle bells, Batman smells\' to get their father\'s attention, \'ABC News\' reported.The degree to which the device was used, however, did not necessarily directly relate to the way in which the child reacted, according to the study.\n""The conclusion I wouldn\'t draw from the study, is that we need to completely remove these devices when we are with our children,"" Radesky said.\n""But it does raise the issue that we need to create boundaries for these devices when we are with our children,"" she said.The study will be published in the journal Pediatrics.']"
4214,http://gulfnews.com/news/world/usa/cell-phone-addiction-may-kill-parent-child-bond-1.1302675,health,"['Do you often play games, check emails or respond to office calls on your cell phone while with family on a dinner? This phone addiction can damage your emotional bonding with kids soon.\n\nIn a first-of-its-kind study to examine how children behave with adults on phones, researchers from Boston Medical Centre studied 55 parents while they had food at a restaurant with children.\n\nThey found that one in three parents used their phones almost continuously during the meals.\n\n“A lack of eye contact and interaction with children can reduce the bond with them,” alerted Jenny Radesky, a behavioural paediatrics expert.\n\nAlmost 73 per cent of the adults used their phone at least once during each meal.\n\nMore than 15 per cent used their phones towards the end of the meal and continued to use it until they left the restaurant, said the study.\n\nWhen parents spent a long time looking at their phones, their children had a tendency to seek attention.\n\n“Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,” Radesky was quoted as saying.\n\nChildren became distracted and wanted to know why the parents were using their phones during the family time.\n\nThis could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.', 'Do you often play games, check emails or respond to office calls on your cell phone while with family on a dinner?\nThey found that one in three parents used their phones almost continuously during the meals.\n“A lack of eye contact and interaction with children can reduce the bond with them,” alerted Jenny Radesky, a behavioural paediatrics expert.\nAlmost 73 per cent of the adults used their phone at least once during each meal.\n“Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,” Radesky was quoted as saying.']"
4215,http://www.foxnews.com/health/2014/03/11/parents-often-glued-to-cellphone-while-kids-eat/,health,"['About one in three parents use their mobile phones nearly nonstop while eating at a restaurant with their young children, a new study suggests.\n\nResearchers observed that when parents were almost constantly engrossed in their phones, kids tended to act out, although some kids also seemed to accept the lack of attention and conversation, and entertained themselves, the researchers found.\n\n""Caregivers who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,"" said lead author Dr. Jenny Radesky, who specializes in developmental behavioral pediatrics at Boston Medical Center.\n\nThis is the first study to look at how adults are using mobile phones around children and how kids react to this use. The researchers wanted to describe parents\' common patterns of mobile use as a first step toward understanding how this behavior affects parent-child interactions and child development, according to the study.\n\nThis is a tricky topic to study, Radesky said. ""Mobile device use is harder to measure than [use of] \'traditional media\' like TV, because these devices can be used in so many different ways and are instantly accessible."" [9 Odd Ways Your Tech Devices May Injure You]\n\nThe findings are published online Mar. 10 and will appear in the April issue of the journal Pediatrics.\n\nObserving behavior\n\nBorrowing a technique from anthropology of observing people\'s behavior in real-life settings, the researchers wrote up 55 detailed observations of caregivers and children ages 10 and under eating in fast-food restaurants in Boston.\n\nNeither the parents nor the children knew their behavior was being watched by a trained observer who was sitting at a nearby table taking detailed notes.\n\n""This allowed us to record absolutely everything taking place during a family\'s meal -- the positive and the not-so-positive things related to device use,"" Radesky told LiveScience.\n\nThese observations showed that 73 percent of adults in the study used a mobile device during their meal.\n\nBut the degree of use by caregivers varied, and five main usage patterns emerged from the findings: They included parents who never took the device out, those who placed it on the table but didn\'t use it, as well as adults who had brief periods of use, continuous use at the end of a meal, or near constant use throughout the meal.\n\nThe researchers also observed that children were almost always curious about what adults were doing on their devices.\n\nAbsorbed in technology\n\nA large segment of caregivers in the study appeared to be more absorbed in their gadgets than their children.\n\nAdults who were the most engrossed spent nearly the entire meal typing or swiping the screen rarely looking up to check on their kids or talk to them. Parents who talked on their phones typically had an eye on their child, the study found.\n\nAbout 15 percent of caregivers took out their phones at the end of their meal while children were still eating and used it almost constantly from that point on, often because they seemed bored, the researchers noted.\n\nThe results suggest there may be healthier styles of device use, such as brief or occasional use or sharing the device with a child to look at a picture or video, that are more supportive of parent-child interactions, Radesky said.\n\nBut she also added, ""there may be reason for concern that a parent\'s excessive device use can lead to less positive and less sensitive interactions with children.""\n\nThe results are ""an initial descriptive look into a complicated topic,"" Radesky said. She offered these tips to parents to promote healthy family interactions:', 'About one in three parents use their mobile phones nearly nonstop while eating at a restaurant with their young children, a new study suggests.\nThis is the first study to look at how adults are using mobile phones around children and how kids react to this use.\nThis is a tricky topic to study, Radesky said.\n""Mobile device use is harder to measure than [use of] \'traditional media\' like TV, because these devices can be used in so many different ways and are instantly accessible.""\nThese observations showed that 73 percent of adults in the study used a mobile device during their meal.']"
4216,http://topnews.ae/content/220508-mobile-phones-affecting-parenting-skills-study,health,
