,URL,CATEGORY,content and summary
104444,http://www.ianslive.in/index.php\?param=news/Paramedic_dies_of_Mers_coronavirus_infection_in_UAE-418305/Features%20Analyses/35,health,
104445,http://www.ianslive.in/index.php\?param=news/Paramedic_dies_of_Mers_coronavirus_infection_in_UAE-418305/Health%20&amp;%20Travel/35,health,
104446,http://www.worldbulletin.net/health-environment/133536/lebanon-in-vaccination-drive-against-polio,health,
104447,http://globalnation.inquirer.net/102009/uae-filipino-paramedic-dies-from-mers-others-infected,health,"['DUBAI, United Arab Emirates — A Filipino paramedic in the United Arab Emirates has died after contracting Middle East respiratory syndrome and five others have tested positive for the virus, the Gulf nation’s interior ministry said Friday.\n\nThe death came as Jordanian health officials reported a new case of the disease, which is related to SARS, and three days after authorities in neighboring Saudi Arabia reported that 11 people, including health-care workers, had contracted the disease in the western city of Jiddah.\n\nADVERTISEMENT\n\nAll six paramedics who contracted the virus in the UAE are Filipino nationals working for the Interior Ministry in the oasis city of Al Ain, according to a report by state news agency WAM quoting the ministry. It did not provide further details on their identities.\n\nAl Ain is near the border of Oman and is about 160 kilometers (100 miles) inland from the UAE capital, Abu Dhabi. The UAE is a federation of seven emirates that includes Dubai.\n\nThe five infected paramedics have been placed under quarantine and people who have recently been treated by them are being checked for infection. The agency said the five were found to have contracted the virus during routine check-ups.\n\nMERS belongs to a family of viruses known as coronaviruses that include both the common cold and SARS, which killed some 800 people in a global outbreak in 2003. It can cause fever, breathing problems, pneumonia and kidney failure. It was first identified in 2012 in the Middle East, where most cases since have been diagnosed.\n\nWhile MERS does not seem to spread as quickly between people as SARS did, it does appear to be more deadly. Recent studies suggest that camels are the main source of the disease, according to the World Health Organization.\n\nThe WHO says a total of 212 people have been confirmed to have contracted the disease since September 2012, and 88 of them have died.\n\nAmong those recently infected is a 52 year-old man in Jordan with underlying medical conditions who recently visited Saudi Arabia and is now hospitalized in stable condition, the WHO announced Friday.\n\nSaudi Arabia is at the center of the MERS outbreak. It has recorded 66 deaths so far.\n\nHealth authorities in the kingdom earlier this week closed the emergency unit at one of the biggest hospitals in Jiddah for disinfection after 11 people in the city became infected, including two who later died. A nurse at the hospital was among those who fell ill.\n\nADVERTISEMENT\n\nOther Mideast countries that have reported cases of infection include Kuwait, Oman and Qatar. A small number of cases have been diagnosed in Europe and North Africa.\n\nRELATED STORIES\n\nAll PH missions on alert for coronavirus\n\nOFWs seek PH help on coping with new virus\n\nDOH asked to educate OFWs in Saudi about deadly virus\n\nRead Next\n\nLATEST STORIES\n\nMOST READ', 'Al Ain is near the border of Oman and is about 160 kilometers (100 miles) inland from the UAE capital, Abu Dhabi.\nThe five infected paramedics have been placed under quarantine and people who have recently been treated by them are being checked for infection.\nThe agency said the five were found to have contracted the virus during routine check-ups.\nWhile MERS does not seem to spread as quickly between people as SARS did, it does appear to be more deadly.\nAmong those recently infected is a 52 year-old man in Jordan with underlying medical conditions who recently visited Saudi Arabia and is now hospitalized in stable condition, the WHO announced Friday.']"
104448,http://en.apa.az/news/209790,health,
104449,http://english.farsnews.com/newstext.aspx\?nn=13930123000313,health,
104450,http://www.arabtimesonline.com/NewsDetails/tabid/96/smid/414/ArticleID/205209/reftab/36/t/Pinoy-paramedic-dies-5-infected-with-MERS-in-UAE/Default.aspx,health,
104451,http://gulfnews.com/news/gulf/uae/health/six-medics-infected-by-mers-cov-1.1318149,health,"['Abu Dhabi: Six paramedics have been infected by the Middle East Respiratory coronavirus (Mers-CoV) and one of them has died, the UAE Ministry of Interior (MoI) confirmed in a statement on Friday.\n\nThe five other patients have been quarantined for observation and treatment, the ministry confirmed.\n\nThe patients are all from the Philippines and are aged below 40.\n\nThey work with the MoI in Al Ain and were diagnosed after a routine medical check up.\n\nAuthorities still do not know how the paramedics got infected, but it is likely they were exposed while dealing with elderly patients, a source at the UAE Ministry of Health’s (MoH) Infection Control Committee told Gulf News. The majority of Mers infections in the UAE have occurred among elderly, chronically-ill people.\n\nThe announcement was made in order to ensure transparency and keep residents informed, the MoI announced on its Twitter page.\n\nIt added that people who have recently been in contact with the paramedics have also been reached to ensure that they are healthy.\n\nThe World Health Organisation (WHO), as well as the Embassy of Philippines, has been informed about the latest cases, the MoH source said.\n\nAs of the latest update released by the WHO on Thursday, 211 people worldwide have been infected by Mers-CoV since September 2012, and 88 patients have succumbed to the disease.\n\nThis count does not include the Filipino paramedics in the UAE.\n\nHealth experts have said that the transmission of the virus, which has a 40 to 50 per cent mortality rate, is still limited.\n\nPrecaution urged\n\nBut the WHO urges healthcare workers to take strict precautions.\n\n“Health-care workers should be educated, trained and refreshed with skills on infection prevention and control. It is not always possible to identify patients with Mers-CoV easily because some have mild or unusual symptoms.\n\n""For this reason, it is important that workers apply standards [and] precautions consistently with all patients — regardless of their diagnosis — in all work practices all the time,” the WHO’s disease outbreak report states.\n\nThe entity recommends that medical professionals guard against droplets when caring for all patients displaying symptoms of acute respiratory infection, and wear contact and eye protection when treating a probable or confirmed case of Mers-CoV infection.\n\n“Patients should be managed as potentially infected when the clinical and epidemiological clues strongly suggest MERS-CoV, even if an initial test is negative,” the WHO report adds.\n\nIn July last year, four medical professionals from two hospitals in Abu Dhabi were also infected by Mers after they had taken care of another patient with the disease.\n\nThey were all aged less than 40 years, and two of them did not develop symptoms of the illness. The other two patients had mild respiratory symptoms and were soon declared to be in stable condition.\n\nSaudi Mers cases\n\n\n\nThe Mers death and quarantine in the UAE comes four days after the emergency unit at King Fahad Hospital in the Saudi Red Sea city of Jeddah was shuttered as a precautionary measure amid reports that several people fell ill with Mers coronavirus.\n\nEarlier this week, Saudi health authorities reported the deaths of another two men and four new cases of Mers, bringing the death toll from the respiratory disease in the worst-hit country to 66.\n\nAt least 11 medical staff have been reported to have contracted the virus, a spokesperson at the King Fahad hospital said.', 'Abu Dhabi: Six paramedics have been infected by the Middle East Respiratory coronavirus (Mers-CoV) and one of them has died, the UAE Ministry of Interior (MoI) confirmed in a statement on Friday.\nAs of the latest update released by the WHO on Thursday, 211 people worldwide have been infected by Mers-CoV since September 2012, and 88 patients have succumbed to the disease.\nIt is not always possible to identify patients with Mers-CoV easily because some have mild or unusual symptoms.\n“Patients should be managed as potentially infected when the clinical and epidemiological clues strongly suggest MERS-CoV, even if an initial test is negative,” the WHO report adds.\nThe other two patients had mild respiratory symptoms and were soon declared to be in stable condition.']"
104452,http://www.emirates247.com/news/emirates/one-mers-virus-death-in-uae-5-infected-2014-04-12-1.545211,health,"['By Wam,Mohammed El Sadafy and staff\n\nAbu Dhabi schools are free from any coronavirus infections, said Dr Amal Abdullah Al Qubaisi, Director General of Abu Dhabi Education Council.\n\n\n\nDr. Al Qubaisi assured parents that there are no cases of coronavirus infections among students.\n\n\n\nThe UAE is keen on taking all precautionary measures in such matters, she added.\n\n\n\nShe said the Abu Dhabi Education Council takes all necessary health precautions in schools to counter any diseases or epidemics like coronavirus in collaboration with the Saha company .\n\n\n\nShe said this during an inspection visit to Mubarak bin Mohammed School on the first day of the new academic year.\n\nMohamed Salem Al Dhaheri, executive director of school operations at the Abu Dhabi Education Council, was also present and met a number of teachers and students.\n\n\n\nMeanwhile, Dr Al Qubaisi said the Abu Dhabi Education Council will be opening 18 new private schools in the next academic year to receive 14,000 students, mostly for middle-income groups.\n\n\n\nThough there are schools for low-income families, their number is not enough, she added.\n\n\n\nAl Qubaisi welcomed the decision to close villa schools in which about 70 per cent of the Arab children studied.\n\n\n\nDr Al-Qubaisi said schools which shifted to new buildings have no right to hike tuition fees by more than 20 per cent for students who were with them when they were housed in villas. But the schools can charge new fees from new students, she added.\n\nUAE assures residents on Mers virus\n\n\n\nHealth Authority Abu Dhabi (Haad) has reassured citizens and residents in the Emirate on the Mers Coronavirus (Mers Cov) illness status and asked the public to practise their daily life activities normally. Haad calls on all residents to avoid rumours and refer to official reliable sources for information on the illness.\n\n\n\nHaad, in its statement, confirmed that the current situation is not a public health concern and that it is coordinating with the Ministry of Health (MoH) and other authorities in the country, and has taken all necessary measures as per international standards and recommendations from the World Health Organisation (WHO), including screenings for all contacts of affected individuals as per international standards and best practice.\n\nHaad advises the public to follow these tips to help prevent respiratory illnesses:\n\n\n\nWash your hands frequently with soap and water for 20 seconds, and help young children do the same. If soap and water are not available, use hand sanitiser.\n\n\n\nCover your nose and mouth with a tissue when you cough or sneeze then throw the tissue in the trash.\n\n\n\nAvoid touching your eyes, nose, and mouth with unwashed hands.\n\n\n\nAvoid close contact, such as kissing, sharing cups, or sharing eating utensils, with people having fever or flu-like illnesses.\n\n\n\nClean and disinfect frequently touched surfaces, such as toys and doorknobs.\n\n\n\nWear masks in mass gatherings such as Hajj or Umrah.\n\n\n\nHaad stressed the need to follow information released about the illness by the Ministry of Health and health authorities. Cases of Mers Cov have been reported by the WHO from 2012.\n\n\n\nThe MoH stated that the WHO confirmed the virus is not a concern for public health at the moment, and that the current situation does not require a travel ban to any country in the world, screenings at different ports, or any restrictions on trade.\n\n\n\nMoH reassured everyone that globally, detected cases continue to be very low compared to other types of flu-like illness. The MOH confirmed that it is monitoring the situation closely to ensure the health and safety of everyone.\n\n\n\nMoH and Health Authorities along with the WHO are working closely with all government and health authorities to understand the risks of this virus and the way it spreads between people.\n\nOne Mers virus death in UAE; Five others infected\n\n\n\nThe Ministry of Interior has reported six cases of infection by the Middle East Respiratory Syndrome Coronavirus (Mers-CoV) among its Filipino paramedics working at the Al Ain Rescue and Ambulance Section, with one of them succumbing to the disease.\n\nThe cases were diagnosed during the periodic medical examinations.\n\nIn a statement issued in this regard, the ministry announced that it has taken all necessary preventive health measures by placing the patients under quarantine.\n\n“The ministry has also been in touch with community members who have been transferred lately to hospitals to check on their health condition by precaution,” added the statement.\n\nFurthermore, the Ministry of Interior stressed its commitment to transparency in disclosing news of interest to community members and related to their security and safety.\n\n11 cases in Jeddah Governate\n\nOn April 9, the Saudi Health Affairs Department in Jeddah stressed that the status of the Corona-virus in Jeddah Governorate is stable, and the situation is reassuring.\n\n\n\nThe Saudi State News Agency, SPA, quoting a press statement of the department, said that the total number of confirmed cases already announced in Jeddah Governorate amounted to 11 cases; two people died, six recovered and three are still receiving medical care.\n\nSaudi Health Minister reassures public regarding Mers\n\n\n\nDr Abdullah Al-Rabiah, Health Minister of Saudi Arabia, yesterday inspected a number of hospitals in the province of Jeddah.\n\nHe was reassured on the health of the patients and was briefed on the sterilization units and measures of sterilisation mechanisms.\n\nDr Al-Rabiah stressed in a statement to Saudi Press Agency, that the rates of Coronavirus Mers is still reassuring and the number of cases generally is still low.\n\nHe called on all citizens and expatriates not to be deceived by rumours or wrong information circulating in the social media outlets, asking the media to take the information from official sources.', 'By Wam,Mohammed El Sadafy and staffAbu Dhabi schools are free from any coronavirus infections, said Dr Amal Abdullah Al Qubaisi, Director General of Abu Dhabi Education Council.\nShe said the Abu Dhabi Education Council takes all necessary health precautions in schools to counter any diseases or epidemics like coronavirus in collaboration with the Saha company .\nMeanwhile, Dr Al Qubaisi said the Abu Dhabi Education Council will be opening 18 new private schools in the next academic year to receive 14,000 students, mostly for middle-income groups.\nUAE assures residents on Mers virusHealth Authority Abu Dhabi (Haad) has reassured citizens and residents in the Emirate on the Mers Coronavirus (Mers Cov) illness status and asked the public to practise their daily life activities normally.\nHaad stressed the need to follow information released about the illness by the Ministry of Health and health authorities.']"
104453,http://health.india.com/news/mers-cov-claims-paramedics-life-in-uae/,health,"['World Diabetes Day November 13, 2019 at 08:04pm\n\nWorld Diabetes Day on November 14: Environmental pollutants and genes may be responsible for your diabetes\n\nOn this World Diabetes Day, it is important to know that variants in common genes and environmental pollutants may increase your risk of diabetes. Read on to know more.\n\nNovember 13, 2019 at 08:04pm', 'World Diabetes Day November 13, 2019 at 08:04pmWorld Diabetes Day on November 14: Environmental pollutants and genes may be responsible for your diabetesOn this World Diabetes Day, it is important to know that variants in common genes and environmental pollutants may increase your risk of diabetes.\nRead on to know more.\nNovember 13, 2019 at 08:04pm']"
104454,http://www.zawya.com/story/UAE_health_worker_who_contracted_Mers_virus_dies_5_infected-ZAWYA20140412034401/,health,"[""Page not found\n\nSorry, we can't find the page you are looking for.\n\nIt looks like this was the result of either:\n\nA mistyped address\n\nAn out-of-date bookmark in your web browser\n\nA broken link on our site\n\nA broken link on a search engine results page\n\nA broken link on someone else's page\n\nSome things to try:"", ""Page not foundSorry, we can't find the page you are looking for.\nIt looks like this was the result of either:A mistyped addressAn out-of-date bookmark in your web browserA broken link on our siteA broken link on a search engine results pageA broken link on someone else's pageSome things to try:""]"
104455,http://www.tele-management.ca/2014/04/philippines-aid-workers-infected-with-mers-in-uae/,health,
