,category,content
0,business,"bad weather is one factor behind soaring food prices. can you make hay with farm stocks? possibly: but be prepared to harvest gains on a moment's ...
"
1,business,"hewlett-packard ceo leo apotheker detailed its next-generation strategy.
"
2,business,"many frequent travelers are convinced rental car companies make a bundle off gasoline. but companies say they sell it as a convenience to cu ...
"
3,business,"viacom said that judy mcgrath, the chief executive and chairwoman of mtv networks, is leaving and that a replacement has not been named.
"
4,business,"lehman brothers holdings inc  said it hopes to win court approval of its reorganization plan in mid-november, more than three years after filing the largest bankruptcy in u.s....
"
5,business,"investors who have been waiting for a pullback in stock prices have gotten it, partially thanks to the debt ceiling debate.
"
6,business,"the pace of growth in the u.s. services sector unexpectedly eased in april to its lowest level since august 2010, according to an industry report released on wednesday.
"
7,business,"turkmenistan is now thought to be sitting on top of the world's second-largest natural gas field.
"
8,business,"will investors, or the rest of us, pay the price if it bursts?
"
9,business,"balancing your life doesn't mean devoting equal time to every task.
"
10,business,"a collapse of the euro currency was not ""unthinkable"" if it comes under too much strain, billionaire investor warren buffett told cnbc on thursday.
"
11,business,"procter &amp; gamble co  lowered the high end of its profit forecast for the year, as it does what it can to trim costs and increases some prices to offset rising costs for materials.
"
12,business,"some same-sex married couples are challenging the government's requirement that they file separate tax returns.
"
13,business,"wal-mart stores inc  is making progress bringing items and shoppers back to its u.s. stores, and turning around u.s. sales remains its top priority, president and chief executive mike duke said on tuesday.
"
14,business,"some investors might see the federal government's aig sell-off as a huge buying opportunity. think again.
"
15,business,"wal-mart will de-emphasize fashion apparel and concentrate on basic items like t-shirts and underwear because of the difficult economic climate.
"
16,business,"a new york city private equity firm has bought pittsburgh's iron city brewing co.
"
17,business,"abc announced that it has signed katie couric to a multiyear contract to host a new daytime talk show, and she will also join the abc news division.
"
18,business,"anheuser-busch inbev , the world's largest brewer, suffered a first drop in beer sales for a year and half as price hikes, rain in brazil and high u.s. unemployment deterred drinkers.
"
19,business,"lockheed martin corp's  increasingly costly f-35 joint strike fighter is testing congressional support, with top senators calling on the pentagon to offer alternatives.
"
20,business,"greece has missed all fiscal targets agreed under its bailout plan, a mission from an international inspection team found, putting further funding for athens at risk, according to a german magazine.
"
21,business,"the price of oil is still almost 30 percent higher than a year ago. 'this is a correction, and not a shift in trend,' one analyst said of the recent fall in prices.
"
22,business,"ireland still wants to force foreign bondholders to bear losses in debt-crippled banks but is being blocked by the european central bank, which ...
"
23,business,"a video of dealbook's andrew ross sorkin talking to the chairman of berkshire hathaway about the lessons learned from the situation with david sokol.
"
